field_season	species	date_collected	plot	sex	weight	weight_unit	scale_calibrated
2013	DM	7/16/13	2	F	NULL	NULL	NULL
2013	DM	7/16/13	7	M	33	g	NULL
2013	DM	7/16/13	3	M	NULL	NULL	NULL
2013	DM	7/16/13	1	M	NULL	NULL	NULL
2013	DM	7/18/13	3	M	40	g	NULL
2013	DM	7/18/13	7	M	48	g	NULL
2013	DM	7/18/13	4	F	29	g	NULL
2013	DM	7/18/13	6	F	37	g	NULL
2013	DO	8/19/13	8	F	52	NULL	NULL
2013	DO	10/17/13	3	F	33	NULL	NULL
2013	DO	10/17/13	3	F	50	NULL	NULL
2013	DO	12/10/13	9	F	40	NULL	NULL
2013	DO	12/10/13	1	M	45	NULL	NULL
2013	DO	12/11/13	8	F	41	NULL	NULL
2013	DS	11/12/13	9	F	117	NULL	NULL
2013	DS	11/13/13	11	F	126	NULL	NULL
2013	DS	11/13/13	17	M	132	NULL	not_calibrated
2013	DS	11/13/13	14	F	113	NULL	not_calibrated
2013	DS	11/13/13	11	F	122	NULL	NULL
2013	DS	11/13/13	4	F	107	NULL	NULL
2013	DS	11/13/13	4	F	115	NULL	NULL
2013	DS	11/12/13	9	F	117	NULL	NULL
2013	DS	11/13/13	11	F	126	NULL	NULL
2013	DS	11/13/13	17	M	132	NULL	not_calibrated
2013	DS	11/13/13	14	F	113	NULL	not_calibrated
2013	DS	11/13/13	11	F	122	NULL	NULL
2013	DS	11/13/13	4	F	107	NULL	NULL
2013	DS	11/13/13	4	F	115	NULL	NULL
2014	DM	1/9/14	1	M	40	NULL	NULL
2014	DM	1/9/14	1	F	36	NULL	NULL
2014	DM	3/13/14	1	F	51	NULL	NULL
2014	DM	3/13/14	1	F	44	NULL	NULL
2014	DS	3/13/14	1	F	146	NULL	NULL
2014	NA	1/8/14	2	NULL	NULL	NULL	NULL
2014	DM	1/8/14	2	M	44	NULL	NULL
2014	PF	1/8/14	2	F	7	NULL	NULL
2014	DM	1/8/14	2	M	45	NULL	NULL
2014	OT	1/8/14	2	NULL	NULL	NULL	NULL
2014	DS	1/8/14	2	M	157	NULL	not_calibrated
2014	OX	1/8/14	2	NULL	NULL	NULL	NULL
2014	NA	2/18/14	2	M	218	NULL	not_calibrated
2014	PF	2/18/14	2	F	7	NULL	NULL
2014	DM	2/18/14	2	M	52	NULL	NULL
2015	PF	3/11/15	3	M	8	NULL	NULL
2015	NA	4/8/15	3	F	NULL	NULL	NULL
2015	NULL	5/6/15	3	NULL	NULL	NULL	NULL
2015	NA	5/18/15	3	F	182	NULL	NULL
2015	OT	6/9/15	3	F	29	NULL	NULL
2015	NA	7/8/15	3	F	115	NULL	NULL
2015	NA	7/8/15	3	M	190	NULL	NULL
1978	DM	1/8/78	4	F	37	NULL	NULL
1978	DM	1/8/78	4	M	NULL	NULL	NULL
1978	DM	1/8/78	4	F	48	NULL	NULL
1978	DO	1/8/78	4	M	52	NULL	NULL
1978	OL	1/8/78	4	M	35	NULL	NULL
